dateCrawled,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,postalCode
2016-03-06 00:56:46,4850,coupe,2003,automatik,204,clk,150000,10,diesel,mercedes_benz,nein,67112
2016-03-06 00:56:47,8350,bus,2007,manuell,105,golf,150000,4,diesel,volkswagen,nein,24109
2016-03-06 00:56:50,1,limousine,2002,manuell,107,3_reihe,150000,12,diesel,peugeot,ja,33330
2016-03-06 00:56:52,5400,kombi,2005,manuell,102,passat,125000,5,benzin,volkswagen,nein,1307
2016-03-06 00:56:55,9920,coupe,1992,manuell,190,andere,150000,12,benzin,volkswagen,nein,76530
2016-03-06 00:56:59,2750,kleinwagen,2006,manuell,58,clio,125000,11,benzin,renault,nein,31860
2016-03-06 00:57:00,850,kleinwagen,1998,manuell,54,corsa,150000,7,benzin,opel,nein,54421
2016-03-06 00:57:01,6300,limousine,2006,manuell,129,3er,150000,1,benzin,bmw,nein,28816
2016-03-06 00:57:02,700,limousine,1997,manuell,75,astra,150000,3,benzin,opel,nein,69514
2016-03-06 00:57:03,2790,limousine,1999,manuell,150,passat,150000,11,benzin,volkswagen,nein,21147
2016-03-06 00:57:04,599,kleinwagen,1995,manuell,45,1_reihe,125000,2,benzin,peugeot,nein,13359
2016-03-06 00:57:05,8199,kombi,2008,manuell,109,clubman,150000,9,diesel,mini,nein,97795
2016-03-06 00:57:06,5550,kleinwagen,2008,manuell,60,polo,90000,2,benzin,volkswagen,nein,48607
2016-03-06 00:57:07,10350,kleinwagen,2013,manuell,90,clio,50000,8,diesel,renault,nein,82110
2016-03-06 00:57:07,6750,kleinwagen,2012,manuell,60,up,40000,11,benzin,volkswagen,nein,45881
2016-03-06 00:57:08,8500,limousine,2003,automatik,280,a8,150000,1,benzin,audi,nein,95030
2016-03-06 00:57:15,6000,kombi,2006,manuell,140,passat,150000,5,diesel,volkswagen,nein,13465
2016-03-06 00:57:19,2400,limousine,2002,manuell,75,golf,150000,5,benzin,volkswagen,nein,31157
2016-03-06 00:57:21,800,limousine,1989,automatik,0,andere,150000,1,benzin,mercedes_benz,nein,36110
2016-03-06 00:57:22,250,kombi,1997,manuell,60,cordoba,150000,7,benzin,seat,ja,9599
2016-03-06 00:57:23,1490,limousine,1992,automatik,136,e_klasse,150000,1,benzin,mercedes_benz,nein,10589
2016-03-06 00:57:24,17299,suv,2014,manuell,0,tiguan,30000,6,benzin,volkswagen,nein,70178
2016-03-06 00:57:25,26500,limousine,2010,automatik,184,5er,125000,10,diesel,bmw,nein,84144
2016-03-06 00:57:27,550,limousine,1995,automatik,0,c_klasse,150000,5,diesel,mercedes_benz,nein,13053
2016-03-06 00:57:27,7200,limousine,2006,automatik,105,golf,150000,4,diesel,volkswagen,nein,13357
2016-03-06 00:57:28,2999,kombi,2003,automatik,136,4_reihe,100000,12,benzin,peugeot,ja,22844
2016-03-06 00:57:29,500,limousine,1994,manuell,75,golf,150000,10,benzin,volkswagen,nein,3172
2016-03-06 00:57:32,350,kombi,1991,manuell,0,escort,150000,4,benzin,ford,ja,39615
2016-03-06 00:57:35,3700,limousine,2001,manuell,129,c_klasse,150000,10,benzin,mercedes_benz,nein,53229
2016-03-06 00:57:38,5100,kombi,2008,manuell,105,golf,150000,1,diesel,volkswagen,nein,27476
2016-03-06 00:57:39,1050,kleinwagen,2002,manuell,58,twingo,150000,3,benzin,renault,nein,48282
2016-03-06 00:57:40,4450,limousine,2008,manuell,120,3_reihe,150000,8,benzin,peugeot,nein,21217
2016-03-06 00:57:44,5900,bus,2007,manuell,102,touran,150000,2,benzin,volkswagen,ja,82319
2016-03-06 00:57:45,2400,coupe,1994,manuell,133,andere,150000,10,benzin,honda,nein,38350
2016-03-06 00:57:46,2650,bus,2005,manuell,101,vivaro,150000,10,diesel,opel,nein,90431
2016-03-06 00:57:48,8000,limousine,2011,manuell,105,golf,150000,11,diesel,volkswagen,nein,44309
2016-03-06 00:57:49,2950,kombi,2006,manuell,101,focus,150000,3,benzin,ford,nein,45131
2016-03-06 00:57:50,15900,suv,2012,manuell,140,tiguan,150000,7,diesel,volkswagen,nein,25469
2016-03-06 00:58:00,8500,suv,2001,manuell,99,andere,20000,0,diesel,mitsubishi,nein,56727
2016-03-06 00:58:02,9600,kombi,2011,manuell,140,passat,150000,7,diesel,volkswagen,nein,42107
2016-03-06 00:58:03,5900,bus,2007,manuell,102,touran,150000,2,benzin,volkswagen,nein,82319
2016-03-06 00:58:05,4450,limousine,2007,manuell,120,andere,150000,4,diesel,suzuki,nein,28857
2016-03-06 00:58:06,2300,limousine,1997,manuell,193,5er,150000,4,benzin,bmw,nein,71334
2016-03-06 00:58:06,5900,limousine,2001,automatik,220,a4,150000,4,benzin,audi,nein,74239
2016-03-06 00:58:08,15850,bus,2007,automatik,204,viano,150000,5,diesel,mercedes_benz,nein,52428
2016-03-06 00:58:09,700,kombi,2000,manuell,75,golf,150000,4,benzin,volkswagen,nein,23714
2016-03-06 00:58:10,3300,kombi,2001,manuell,155,a6,150000,12,diesel,audi,nein,63599
2016-03-06 00:58:14,26900,coupe,2012,manuell,377,scirocco,70000,4,benzin,volkswagen,nein,75179
2016-03-06 00:58:17,1500,kleinwagen,2004,manuell,75,ibiza,150000,6,benzin,seat,nein,66663
2016-03-06 00:58:18,3250,limousine,2003,manuell,75,golf,150000,4,benzin,volkswagen,nein,12529
2016-03-06 00:58:20,2750,limousine,2002,manuell,122,vectra,150000,3,benzin,opel,nein,89335
2016-03-06 00:58:21,13500,suv,2006,automatik,224,m_klasse,150000,6,diesel,mercedes_benz,nein,56841
2016-03-06 00:58:21,1650,limousine,1992,manuell,150,100,150000,7,benzin,audi,nein,75382
2016-03-06 00:58:23,15200,kombi,2011,manuell,136,c_klasse,100000,7,diesel,mercedes_benz,nein,50226
2016-03-06 00:58:23,10299,bus,2011,manuell,140,c_max,150000,2,diesel,ford,nein,53721
2016-03-06 00:58:31,25500,limousine,2014,automatik,184,golf,40000,10,diesel,volkswagen,nein,35466
2016-03-06 00:58:35,2650,limousine,2001,manuell,163,c_klasse,150000,6,benzin,mercedes_benz,nein,47169
2016-03-06 00:58:37,5650,kombi,2006,manuell,140,a3,150000,3,diesel,audi,nein,49632
2016-03-06 00:58:38,2950,limousine,2004,manuell,145,mondeo,150000,4,benzin,ford,nein,27572
2016-03-06 00:58:42,2300,bus,2002,manuell,84,andere,150000,10,diesel,peugeot,nein,56856
2016-03-06 00:58:44,2400,kombi,2001,manuell,0,3er,150000,6,diesel,bmw,nein,86343
2016-03-06 00:58:45,1199,kleinwagen,2002,manuell,60,fiesta,150000,11,benzin,ford,nein,89520
2016-03-06 00:58:46,2650,limousine,2002,automatik,125,a_klasse,100000,10,benzin,mercedes_benz,nein,53757
2016-03-06 00:58:50,3199,kombi,2004,manuell,101,golf,150000,11,diesel,volkswagen,nein,34125
2016-03-06 00:58:54,14300,suv,2008,automatik,177,x_reihe,150000,8,diesel,bmw,nein,83278
2016-03-06 00:58:58,1250,bus,1997,manuell,90,alhambra,150000,8,diesel,seat,nein,90431
2016-03-06 00:59:01,28450,limousine,2012,automatik,245,a6,150000,2,diesel,audi,nein,67259
2016-03-06 00:59:02,600,coupe,1994,manuell,102,3er,125000,12,benzin,bmw,ja,87466
2016-03-06 00:59:03,15500,suv,2008,manuell,140,tiguan,125000,8,diesel,volkswagen,nein,44329
2016-03-06 00:59:04,7900,kleinwagen,2012,automatik,71,fortwo,20000,12,benzin,smart,nein,24539
2016-03-06 00:59:05,10990,kombi,2010,manuell,160,passat,90000,7,benzin,volkswagen,nein,89143
2016-03-06 00:59:06,6499,limousine,2001,automatik,197,s_klasse,150000,10,diesel,mercedes_benz,nein,90480
2016-03-06 00:59:08,11999,coupe,2013,manuell,128,i_reihe,70000,9,diesel,hyundai,nein,19217
2016-03-06 00:59:08,16999,limousine,2011,manuell,143,a4,125000,9,diesel,audi,nein,49733
2016-03-06 00:59:09,7750,limousine,2008,manuell,105,golf,150000,4,diesel,volkswagen,nein,66113
2016-03-06 00:59:18,3499,bus,2001,manuell,88,transporter,150000,3,diesel,volkswagen,nein,41515
2016-03-06 00:59:20,600,kleinwagen,1998,manuell,75,fiesta,150000,11,benzin,ford,ja,66798
2016-03-06 00:59:20,1600,limousine,1994,manuell,122,c_klasse,150000,10,benzin,mercedes_benz,nein,88348
2016-03-06 00:59:21,1500,kleinwagen,2002,automatik,98,3_reihe,100000,11,benzin,mazda,nein,13587
2016-03-06 00:59:22,6000,limousine,1990,manuell,151,andere,150000,9,benzin,volvo,nein,27628
2016-03-06 00:59:24,1490,kombi,2001,manuell,120,omega,150000,5,diesel,opel,nein,64521
2016-03-06 00:59:25,6499,cabrio,2002,manuell,170,3er,150000,7,benzin,bmw,nein,45899
2016-03-06 00:59:27,2100,limousine,2001,manuell,110,golf,150000,11,diesel,volkswagen,nein,40721
2016-03-06 00:59:36,5950,limousine,2005,automatik,163,e_klasse,150000,9,benzin,mercedes_benz,nein,65510
2016-03-06 00:59:36,850,kleinwagen,1983,manuell,75,polo,30000,3,benzin,volkswagen,ja,21376
